"id","l10n_bg_saft_account_code"
"l10n_bg_101","101"
"l10n_bg_102","102"
"l10n_bg_103","103"
"l10n_bg_104","104"
"l10n_bg_105","114"
"l10n_bg_106","116"
"l10n_bg_111","111"
"l10n_bg_112","112"
"l10n_bg_113","115"
"l10n_bg_114","113"
"l10n_bg_115","114"
"l10n_bg_116","116"
"l10n_bg_117","111"
"l10n_bg_119","119"
"l10n_bg_121","121"
"l10n_bg_122","122"
"l10n_bg_123","123"
"l10n_bg_124","124"
"l10n_bg_125","125"
"l10n_bg_131","131"
"l10n_bg_132","134"
"l10n_bg_133","135"
"l10n_bg_134","197"
"l10n_bg_135","135"
"l10n_bg_136","136"
"l10n_bg_137","137"
"l10n_bg_138","138"
"l10n_bg_141","141"
"l10n_bg_142","142"
"l10n_bg_151","151"
"l10n_bg_152","152"
"l10n_bg_153","154"
"l10n_bg_159","159"
"l10n_bg_201","2011"
"l10n_bg_202","2012"
"l10n_bg_203","202"
"l10n_bg_204","203"
"l10n_bg_205","204"
"l10n_bg_206","205"
"l10n_bg_207","206"
"l10n_bg_208","207"
"l10n_bg_209","209"
"l10n_bg_211","211"
"l10n_bg_212","212"
"l10n_bg_213","213"
"l10n_bg_214","214"
"l10n_bg_219","219"
"l10n_bg_221","222"
"l10n_bg_222","222"
"l10n_bg_223","221"
"l10n_bg_224","223"
"l10n_bg_225","224"
"l10n_bg_226","514"
"l10n_bg_227","193"
"l10n_bg_228","927"
"l10n_bg_229","229"
"l10n_bg_231","231"
"l10n_bg_232","232"
"l10n_bg_241","241"
"l10n_bg_2413","241"
"l10n_bg_2414","241"
"l10n_bg_2415","241"
"l10n_bg_2416","241"
"l10n_bg_2417","241"
"l10n_bg_2418","241"
"l10n_bg_2419","241"
"l10n_bg_242","242"
"l10n_bg_2421","242"
"l10n_bg_2422","242"
"l10n_bg_2423","242"
"l10n_bg_2424","242"
"l10n_bg_2429","242"
"l10n_bg_261","553"
"l10n_bg_262","227"
"l10n_bg_263","227"
"l10n_bg_264","227"
"l10n_bg_269","227"
"l10n_bg_271","271"
"l10n_bg_272","272"
"l10n_bg_273","273"
"l10n_bg_274","274"
"l10n_bg_279","279"
"l10n_bg_301","60203"
"l10n_bg_302","302"
"l10n_bg_303","303"
"l10n_bg_304","304"
"l10n_bg_305","611"
"l10n_bg_311","311"
"l10n_bg_312","312"
"l10n_bg_313","313"
"l10n_bg_314","314"
"l10n_bg_315","315"
"l10n_bg_316","316"
"l10n_bg_319","319"
"l10n_bg_401","401"
"l10n_bg_402","402"
"l10n_bg_403","403"
"l10n_bg_404","404"
"l10n_bg_405","405"
"l10n_bg_406","405"
"l10n_bg_409","409"
"l10n_bg_411","411"
"l10n_bg_4111","411"
"l10n_bg_412","412"
"l10n_bg_413","413"
"l10n_bg_414","414"
"l10n_bg_415","415"
"l10n_bg_416","415"
"l10n_bg_419","419"
"l10n_bg_421","421"
"l10n_bg_422","422"
"l10n_bg_423","423"
"l10n_bg_424","227"
"l10n_bg_425","222"
"l10n_bg_426","426"
"l10n_bg_429","429"
"l10n_bg_430","438"
"l10n_bg_431","482"
"l10n_bg_432","438"
"l10n_bg_433","438"
"l10n_bg_439","438"
"l10n_bg_441","441"
"l10n_bg_442","441"
"l10n_bg_443","443"
"l10n_bg_444","444"
"l10n_bg_445","445"
"l10n_bg_451","459"
"l10n_bg_452","4521"
"l10n_bg_453","4538"
"l10n_bg_4531","4531"
"l10n_bg_4532","4532"
"l10n_bg_4534","417"
"l10n_bg_4538","4538"
"l10n_bg_4539","4538"
"l10n_bg_454","454"
"l10n_bg_455","474"
"l10n_bg_456","457"
"l10n_bg_457","458"
"l10n_bg_459","459"
"l10n_bg_461","461"
"l10n_bg_4611","461"
"l10n_bg_4612","461"
"l10n_bg_4613","461"
"l10n_bg_4614","461"
"l10n_bg_4615","435"
"l10n_bg_462","462"
"l10n_bg_463","463"
"l10n_bg_464","439"
"l10n_bg_469","469"
"l10n_bg_471","471"
"l10n_bg_472","472"
"l10n_bg_473","473"
"l10n_bg_474","474"
"l10n_bg_481","446"
"l10n_bg_482","484"
"l10n_bg_483","486"
"l10n_bg_484","487"
"l10n_bg_489","449"
"l10n_bg_491","491"
"l10n_bg_492","492"
"l10n_bg_493","493"
"l10n_bg_494","495"
"l10n_bg_495","496"
"l10n_bg_496","494"
"l10n_bg_497","497"
"l10n_bg_4971","497"
"l10n_bg_4972","263"
"l10n_bg_498","498"
"l10n_bg_499","499"
"l10n_bg_501","501"
"l10n_bg_502","502"
"l10n_bg_503","503"
"l10n_bg_504","504"
"l10n_bg_505","505"
"l10n_bg_506","505"
"l10n_bg_507","506"
"l10n_bg_508","509"
"l10n_bg_509","509"
"l10n_bg_511","511"
"l10n_bg_512","116"
"l10n_bg_513","992"
"l10n_bg_514","116"
"l10n_bg_515","927"
"l10n_bg_516","519"
"l10n_bg_517","222"
"l10n_bg_518","708"
"l10n_bg_519","519"
"l10n_bg_521","513"
"l10n_bg_522","513"
"l10n_bg_523","992"
"l10n_bg_524","513"
"l10n_bg_529","495"
"l10n_bg_531","651"
"l10n_bg_532","751"
"l10n_bg_601","302"
"l10n_bg_602","60212"
"l10n_bg_603","603"
"l10n_bg_604","604"
"l10n_bg_6041","604"
"l10n_bg_6042","604"
"l10n_bg_6043","423"
"l10n_bg_6044","60909"
"l10n_bg_6045","604"
"l10n_bg_605","605"
"l10n_bg_6051","461"
"l10n_bg_6052","605"
"l10n_bg_6053","605"
"l10n_bg_6054","605"
"l10n_bg_6055","665"
"l10n_bg_6056","463"
"l10n_bg_606","60605"
"l10n_bg_606451","459"
"l10n_bg_606452","4521"
"l10n_bg_606454","454"
"l10n_bg_606459","459"
"l10n_bg_607","607"
"l10n_bg_608","608"
"l10n_bg_609","60909"
"l10n_bg_611","611"
"l10n_bg_612","612"
"l10n_bg_613","613"
"l10n_bg_614","614"
"l10n_bg_615","615"
"l10n_bg_616","60908"
"l10n_bg_617","125"
"l10n_bg_618","124"
"l10n_bg_621","621"
"l10n_bg_622","622"
"l10n_bg_623","623"
"l10n_bg_624","624"
"l10n_bg_625","625"
"l10n_bg_629","629"
"l10n_bg_631","608"
"l10n_bg_632","60903"
"l10n_bg_651","651"
"l10n_bg_652","652"
"l10n_bg_661","60209"
"l10n_bg_662","662"
"l10n_bg_663","124"
"l10n_bg_664","762"
"l10n_bg_665","605"
"l10n_bg_669","679"
"l10n_bg_671","671"
"l10n_bg_672","672"
"l10n_bg_679","679"
"l10n_bg_681","661"
"l10n_bg_682","662"
"l10n_bg_683","124"
"l10n_bg_684","762"
"l10n_bg_685","6071"
"l10n_bg_689","789"
"l10n_bg_691","699"
"l10n_bg_701","701"
"l10n_bg_702","702"
"l10n_bg_703","703"
"l10n_bg_704","708"
"l10n_bg_705","705"
"l10n_bg_706","706"
"l10n_bg_707","124"
"l10n_bg_709","709"
"l10n_bg_711","703"
"l10n_bg_712","722"
"l10n_bg_713","708"
"l10n_bg_714","755"
"l10n_bg_715","708"
"l10n_bg_719","709"
"l10n_bg_721","721"
"l10n_bg_722","722"
"l10n_bg_723","723"
"l10n_bg_724","724"
"l10n_bg_725","725"
"l10n_bg_726","728"
"l10n_bg_729","729"
"l10n_bg_731","707"
"l10n_bg_751","751"
