"id","l10n_bg_saft_tax_code"
"l10n_bg_sale_vat_20","100211"
"l10n_bg_sale_vat_20_remote","100211"
"l10n_bg_sale_vat_20_personal","100223"
"l10n_bg_sale_vat_9","100213"
"l10n_bg_sale_vat_9_personal","100224"
"l10n_bg_sale_vat_0_export","100214"
"l10n_bg_sale_vat_0_icd","100215"
"l10n_bg_sale_vat_0_140","100216"
"l10n_bg_sale_vat_0_21","100217"
"l10n_bg_sale_vat_0_exempt","100219"
"l10n_bg_sale_vat_0_tri","100225"
"l10n_bg_purchase_vat_20_ftc","100331"
"l10n_bg_purchase_vat_20_ptc","100332"
"l10n_bg_purchase_vat_20_otc","100332"
"l10n_bg_purchase_vat_20_ftc_exempt","100331"
"l10n_bg_purchase_vat_20_ftc_ica","100331"
"l10n_bg_purchase_vat_20_ftc_82","100331"
"l10n_bg_purchase_vat_20_ptc_exempt","100332"
"l10n_bg_purchase_vat_20_ptc_ica","100332"
"l10n_bg_purchase_vat_20_ptc_82","100332"
"l10n_bg_purchase_vat_9_ftc","100331"
"l10n_bg_purchase_vat_9_otc","100332"
"l10n_bg_purchase_vat_0_otc_ica","100330"
"l10n_bg_purchase_vat_0_otc_exempt","100330"
"l10n_bg_purchase_vat_0_tri","100344"
